"","FIPS_CNTRY","OUT1980_lagged","OUT1980_Ii","OUT1980_Iisig","OUT1990_lagged","OUT1990_Ii","OUT1990_Iisig","OUT2000_lagged","OUT2000_Ii","OUT2000_Iisig","IN1980_lagged","IN1980_Ii","IN1980_Iisig","IN1990_lagged","IN1990_Ii","IN1990_Iisig","IN2000_lagged","IN2000_Ii","IN2000_Iisig"
"47","CM",143218.833333333,0.073499883324568,0.417595172479306,171677.666666667,0.0952800469623989,0.394098526333589,255239,0.105638078724561,0.387369614341948,333623.666666667,0.0159989792425349,0.477805530224209,180523,0.0318779680149333,0.457064731676925,225457.666666667,0.0282498426686248,0.455165815168779
"48","CN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","CO",170495.4,-0.0511923999455512,0.545983996229922,271823.6,-0.0767156877667299,0.571189010283253,546196.8,-0.0472768094350328,0.541013797440557,443233.4,0.00257575425421059,0.493355691093283,401706.4,0.0166110659663306,0.477482631676286,385574,0.019957162198822,0.469564627720898
"50","CQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","CS",104707.5,0.103754902594198,0.434110288753255,234597,0.0868647975329242,0.443917453594122,338540,0.0884746373700534,0.444976121683914,34577,0.0722373154202517,0.451503953632424,42716,0.0543284281714406,0.459847880631496,57589.5,0.0297365384122286,0.472876978573499
"52","CT",167351.4,0.0887760042253083,0.410216291643317,216990.8,0.0993173423984186,0.399436282370148,313088.4,0.110230647497317,0.392925297346017,228053.4,0.0396571528607335,0.455884930777951,233231.6,0.0403376355156759,0.451634881400893,209576.4,0.0399302920163545,0.44430164232668
"53","CU",1635115,0.260114339934933,0.387010397198715,1781009,0.248153797215515,0.391138422624552,2182911,0.332314932069385,0.361205927130935,16364414,-2.63749060168008,0.998525036918634,23251023,-3.14843162223638,0.99993854488383,34814064,-3.21782308375423,0.999997737928553
"54","CV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","CW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
